chr,start,end,kappa,tau,T_original,T_Knock1,T_Knock2,T_Knock3,T_Knock4,T_Knock5,q-value,Ind,MarkerName
1,106803482,106803482,5,6.876982,0.066018,0.011434,0.27626,0.002092,1.0022,6.943,1,1,unspec
1,106803523,106803523,1,0.0008228,0.0018793,0.0027021,0.0026105,0.0022108,0.00071819,0.00010361,1,2,unspec
1,106804091,106804091,1,0.0016634,0.0046564,0.0049246,0.0031693,0.0047075,0.001799,0.0032612,1,3,unspec
1,106804698,106804698,3,0.0004886,0.0023449,0.0022503,0.0019886,0.0027389,0.0020801,0.0026829,1,4,unspec
1,106805935,106805935,3,0.0015417,0.0023495,0.0027339,0.0014135,0.0029552,0.0013907,0.00034287,1,5,unspec
1,106806537,106806537,0,0.001323,0.0030732,0.0015762,0.0024916,0.001917,0.0013802,0.0017502,0.858585859,6,unspec
1,106807446,106807446,2,0.00610569,0.0015237,0.0009515,0.007076,0.00097031,0.0008352,0.0016548,1,7,unspec
1,106807885,106807885,3,0.005053,0.00161,0.0010164,0.0051003,0.0075105,0.0024575,0.0044453,1,8,unspec
1,106808462,106808462,4,0.0016695,0.0018551,0.0020647,0.0025562,0.003392,0.0037342,6.29E-05,1,9,unspec
1,106808469,106808469,2,0.0023782,0.0028762,0.0028465,0.0035021,0.0011239,5.07E-05,0.0010499,1,10,unspec
1,106808591,106808591,5,0.0013253,0.0037259,0.0027149,0.002142,0.0012466,0.0033419,0.0040402,1,11,unspec
1,106809270,106809270,3,0.0013144,0.0032994,0.00022355,0.002568,0.0038824,0.0028071,0.0022831,1,12,unspec
1,106809300,106809300,0,0.0023887,0.0040915,0.0021836,0.001546,0.0017028,0.00032424,0.0022889,0.793043478,13,unspec
1,106809835,106809835,0,0.0019497,0.0030416,0.0021844,0.0024932,0.0010919,0.0007513,0.00030783,0.82018018,14,unspec
1,106810177,106810177,1,0.0027242,0.0015497,0.0037267,0.0010025,0.0003873,0.00062715,0.0023672,1,15,unspec
1,106810806,106810806,0,0.0023173,0.0051814,0.0015952,0.0031649,0.005034,0.0028641,0.00089725,0.795121951,16,unspec
1,106810916,106810916,0,0.0013714,0.0044349,0.0030635,0.002503,0.0035768,0.0033004,0.00064225,0.858585859,17,unspec
1,106810964,106810964,5,0.0022901,0.00083748,0.0022122,0.0021531,0.0019373,0.0023447,0.0044432,1,18,unspec
1,106811212,106811212,0,0.0022807,0.0048204,0.002157,0.0027222,0.0025397,0.0029521,0.0014348,0.795121951,19,unspec
1,106811562,106811562,2,0.003793,0.00038276,0.0018523,0.0056453,0.0014177,0.0033519,0.0024226,1,20,unspec
1,106811805,106811805,3,0.0007784,0.0019782,0.0021599,0.0016196,0.0027566,0.0017822,0.0027275,1,21,unspec
1,106812135,106812135,5,0.0013292,0.0015215,0.00058891,0.0016377,0.0017196,0.00028183,0.0028507,1,22,unspec
1,106812722,106812722,3,0.0015817,0.002761,0.0026914,0.0019882,0.0042731,0.002478,0.0027348,1,23,unspec
1,106812993,106812993,0,0.001536,0.0040739,0.002534,0.0025379,0.0019749,0.0029102,0.0032806,0.842074928,24,unspec
1,161181759,161181759,1,0.0010772,0.0020276,0.0027993,0.0017221,0.00027119,0.00035411,0.0017553,1,25,unspec
1,161181910,161181910,2,0.0008455,0.002285,0.00049269,0.0029575,0.0023099,0.0018631,0.002112,1,26,unspec
1,161182054,161182054,5,0.0080365,0.0016636,0.0065323,0.001229,0.0015548,0.0072322,0.0097001,1,27,unspec
1,161182267,161182267,3,0.0031487,0.0031805,0.0021771,0.0022895,0.0054382,0.0026662,0.0020521,1,28,unspec
1,161182927,161182927,4,0.0038624,0.00087626,0.0017258,0.0010827,0.0051981,0.0055882,0.0031594,1,29,unspec
1,161182988,161182988,2,0.0028067,0.001813,0.0042785,0.006053,0.0016966,0.0056503,0.0032463,1,30,unspec
1,161183114,161183114,5,0.0018541,0.0029904,0.0028557,0.003261,0.0016684,0.0018186,0.0047098,1,31,unspec
1,161183264,161183264,3,0.0010362,0.0014276,0.0019136,0.0013354,0.0029498,0.0019735,0.0027657,1,32,unspec
1,161183606,161183606,4,0.0025074,0.0010742,0.00059024,0.0019894,0.00024445,0.0035816,0.0031357,1,33,unspec
1,161183689,161183689,3,0.0020236,0.00076448,0.0013563,0.0015674,0.0033801,0.0013565,0.0023443,1,34,unspec
1,161184046,161184046,3,0.0031417,0.0022791,0.0013579,0.0022181,0.0053598,0.00066745,0.0031379,1,35,unspec
1,161184272,161184272,0,0.0037043,0.0075724,0.0039828,0.0014669,0.0046021,0.0030701,0.0038681,0.692063492,36,unspec
1,161185023,161185023,4,0.0044485,0.0029168,0.0022013,0.0014331,0.001202,0.0058816,0.00046964,1,37,unspec
1,161185212,161185212,1,0.0011282,0.0020315,0.0031597,0.0013675,0.00095893,0.0029135,0.0030005,1,38,unspec
1,161185602,161185602,3,0.0070391,0.0028531,0.0038179,0.0045719,0.011611,0.0047706,0.0099485,1,39,unspec
