chr,start,end,q-val,ind,MarkerName
1,106803482,106803482,1,1,unspec
1,106803523,106803523,1,2,unspec
1,106804091,106804091,1,3,unspec
1,106804698,106804698,1,4,unspec
1,106805935,106805935,1,5,unspec
1,106806537,106806537,1,6,unspec
1,106807446,106807446,1,7,unspec
1,106807885,106807885,1,8,unspec
1,106808462,106808462,1,9,unspec
1,106808469,106808469,1,10,unspec
1,106808591,106808591,1,11,unspec
1,106809270,106809270,0.845660881,12,unspec
1,106809300,106809300,0.818197136,13,unspec
1,106809835,106809835,1,14,unspec
1,106810177,106810177,1,15,unspec
1,106810806,106810806,1,16,unspec
1,106810916,106810916,1,17,unspec
1,106810964,106810964,1,18,unspec
1,106811212,106811212,1,19,unspec
1,106811562,106811562,0.636180905,20,unspec
1,106811805,106811805,1,21,unspec
1,106812135,106812135,1,22,unspec
1,106812722,106812722,1,23,unspec
1,106812993,106812993,1,24,unspec
1,161181759,161181759,1,25,unspec
1,161181910,161181910,1,26,unspec
1,161182054,161182054,1,27,unspec
1,161182267,161182267,1,28,unspec
1,161182927,161182927,1,29,unspec
1,161182988,161182988,1,30,unspec
1,161183114,161183114,1,31,unspec
1,161183264,161183264,1,32,unspec
1,161183606,161183606,1,33,unspec
1,161183689,161183689,1,34,unspec
1,161184046,161184046,1,35,unspec
1,161184272,161184272,1,36,unspec
1,161185023,161185023,1,37,unspec
1,161185212,161185212,1,38,unspec
1,161185602,161185602,1,39,unspec
1,161185773,161185773,1,40,unspec
1,161186085,161186085,1,41,unspec
1,161186243,161186243,0.861037394,42,unspec
1,161187650,161187650,0.879818078,43,unspec
1,161188454,161188454,1,44,unspec
1,161188558,161188558,1,45,unspec
1,161188591,161188591,1,46,unspec
1,161189357,161189357,1,47,unspec
1,161189368,161189368,1,48,unspec
1,161189621,161189621,0.849444081,49,unspec
1,161189645,161189645,1,50,unspec
1,161190226,161190226,1,51,unspec
1,161190369,161190369,1,52,unspec
1,161190677,161190677,1,53,unspec
1,161190790,161190790,1,54,unspec
1,161190850,161190850,1,55,unspec
1,161191043,161191043,1,56,unspec
1,161191082,161191082,1,57,unspec
1,161191226,161191226,1,58,unspec
1,161211628,161211628,1,59,unspec
1,161211701,161211701,1,60,unspec
1,161211954,161211954,1,61,unspec
1,161212418,161212418,1,62,unspec
1,161212565,161212565,1,63,unspec
1,161212694,161212694,1,64,unspec
1,161212698,161212698,0.861037394,65,unspec
1,161212882,161212882,0.829635258,66,unspec
1,161212928,161212928,1,67,unspec
1,161212936,161212936,1,68,unspec
1,161213726,161213726,1,69,unspec
1,161214307,161214307,1,70,unspec
1,161214423,161214423,1,71,unspec
1,161214868,161214868,1,72,unspec
1,161215085,161215085,1,73,unspec
1,161215186,161215186,1,74,unspec
1,161215268,161215268,1,75,unspec
1,161215334,161215334,1,76,unspec
1,161215939,161215939,0.806510682,77,unspec
1,161216451,161216451,1,78,unspec
1,161216513,161216513,1,79,unspec
1,161216523,161216523,1,80,unspec
1,161216938,161216938,1,81,unspec
1,161217219,161217219,1,82,unspec
1,161217875,161217875,1,83,unspec
1,161218368,161218368,1,84,unspec
1,161218459,161218459,1,85,unspec
1,161218797,161218797,1,86,unspec
1,161218859,161218859,1,87,unspec
1,161219103,161219103,1,88,unspec
1,161219146,161219146,1,89,unspec
1,161219277,161219277,0.819831933,90,unspec
1,161219554,161219554,1,91,unspec
1,161219601,161219601,1,92,unspec
1,161219923,161219923,1,93,unspec
1,161219943,161219943,1,94,unspec
1,161220144,161220144,1,95,unspec
1,161220460,161220460,1,96,unspec
1,161220494,161220494,1,97,unspec
1,161221438,161221438,1,98,unspec
1,161221453,161221453,1,99,unspec
1,161221506,161221506,1,100,unspec
1,204063406,204063406,1,101,unspec
1,204063447,204063447,1,102,unspec
1,204063833,204063833,1,103,unspec
1,204064272,204064272,1,104,unspec
1,204064358,204064358,1,105,unspec
1,204064587,204064587,1,106,unspec
1,204064987,204064987,1,107,unspec
1,204065396,204065396,1,108,unspec
1,204065405,204065405,1,109,unspec
1,204065523,204065523,1,110,unspec
1,204066036,204066036,1,111,unspec
1,204066290,204066290,1,112,unspec
1,204066419,204066419,1,113,unspec
1,204067138,204067138,1,114,unspec
1,204067760,204067760,1,115,unspec
1,204067905,204067905,1,116,unspec
1,204068485,204068485,1,117,unspec
1,204068701,204068701,1,118,unspec
1,204069017,204069017,1,119,unspec
1,204069261,204069261,1,120,unspec
1,204069602,204069602,1,121,unspec
1,204070032,204070032,1,122,unspec
1,204070298,204070298,1,123,unspec
1,204070796,204070796,1,124,unspec
1,204071003,204071003,1,125,unspec
1,204071638,204071638,1,126,unspec
1,204072159,204072159,1,127,unspec
1,204072218,204072218,0.861037394,128,unspec
1,204072748,204072748,1,129,unspec
1,204072756,204072756,1,130,unspec
1,204073305,204073305,1,131,unspec
1,204074001,204074001,1,132,unspec
1,204074288,204074288,0.830594901,133,unspec
1,204075198,204075198,1,134,unspec
1,204075438,204075438,1,135,unspec
1,204075481,204075481,1,136,unspec
1,207507632,207507632,0.863544754,137,unspec
1,207507729,207507729,1,138,unspec
1,207507809,207507809,1,139,unspec
1,207508068,207508068,1,140,unspec
1,207508115,207508115,1,141,unspec
1,207508156,207508156,1,142,unspec
